drug,median_log1p_mag,mean_log1p_mag,std_log1p_mag,n_comparisons,rank,moa
APTO-253,1.2371182,1.3366541,0.58276886,143,233,unclear
Raltitrexed,1.2359571,1.1961576,0.4381134,190,234,DNA synthesis/repair inhibitor
Rifaximin,1.2348163,1.1627096,0.42920676,143,235,unclear
L-Thyroxine (sodium salt pentahydrate),1.2344053,1.2153752,0.35141715,144,236,unclear
Levobupivacaine (hydrochloride),1.2326007,1.2322516,0.3633948,142,237,unclear
Benproperine (phosphate),1.2322661,1.3500277,0.55405474,142,238,unclear
Sunitinib,1.2257718,1.3195345,0.5767335,142,239,Multi-TK inhibitor
Pemigatinib,1.2231445,1.2355707,0.42829415,109,240,Other TK inhibitor
Larotrectinib sulfate,1.2231408,1.2346529,0.4390018,48,241,Other TK inhibitor
Delamanid,1.2212954,1.1605356,0.47714436,144,242,unclear
Erlotinib,1.2212456,1.4345028,0.60307425,143,243,EGFR/ERBB inhibitor
Fingolimod (hydrochloride),1.2071804,1.2239536,0.30811197,143,244,unclear
Ciclopirox,1.2029947,1.2020798,0.41328484,192,245,unclear
Thymol,1.2007192,1.2292893,0.5275638,190,246,unclear
Hesperidin,1.2001052,1.1871114,0.3339472,143,247,unclear
Nevirapine,1.1962291,1.1955682,0.3300386,143,248,unclear
Tolmetin,1.1947867,1.1848288,0.30133113,143,249,Cyclooxygenase inhibitor
Eplerenone,1.1921759,1.1289219,0.39524296,143,250,unclear
Entrectinib,1.1918231,1.2938578,0.5406794,142,251,Other TK inhibitor
Pyridoxine,1.1914628,1.1646733,0.44717512,188,252,unclear
