drug,plate,cell_line,magnitude,log1p_magnitude
LY-2584702 (tosylate salt),1,BT-474,1.7948031,1.0277617
LY2090314,1,BT-474,1.0041136,0.6952019
Lapatinib ditosylate,1,BT-474,1.2582909,0.8146083
Lonafarnib,1,BT-474,1.709395,0.9967254
MK-3903,1,BT-474,0.96071416,0.6733088
MK-8353,1,BT-474,0.82190233,0.5998812
ML264,1,BT-474,3.6712897,1.5414352
Minodronic acid,1,BT-474,4.376793,1.6820921
NG25,1,BT-474,2.8877938,1.3578418
NVP-BHG712,1,BT-474,3.4978724,1.5036044
OTS514,1,BT-474,2.3183014,1.199453
Oleic acid,1,BT-474,1.4854099,0.9104376
Oxaliplatin,1,BT-474,1.408595,0.8790436
PH-797804,1,BT-474,5.2613754,1.8343999
Paclitaxel,1,BT-474,1.1374911,0.75963277
Pemigatinib,1,BT-474,2.210234,1.1663438
Pimitespib,1,BT-474,2.2236063,1.1705008
Pralsetinib,1,BT-474,9.394098,2.3412383
RMC-6236,1,BT-474,4.447008,1.6950665
Regorafenib,1,BT-474,1.9473604,1.08091
SBI-0640756,1,BT-474,1.3274254,0.8447627
Sapanisertib,1,BT-474,3.3514771,1.4705154
TAK-733,1,BT-474,5.472141,1.867507
TAK-901,1,BT-474,3.904776,1.5902095
Temuterkib,1,BT-474,1.5053854,0.9184426
Tomivosertib,1,BT-474,0.41143844,0.34460935
Torkinib,1,BT-474,2.1131458,1.1356337
Trametinib,1,BT-474,7.107917,2.092841
Tubulin inhibitor 6,1,BT-474,1.1630551,0.7715216
Tucatinib,1,BT-474,0.76811445,0.5699137
ULK-101,1,BT-474,1.0116457,0.69895315
Vemurafenib,1,BT-474,2.6671515,1.2994152
Volasertib,1,BT-474,1.5946455,0.9534499
XRK3F2,1,BT-474,3.0725205,1.4042621
palbociclib,1,BT-474,6.2850413,1.9858232
venetoclax,1,BT-474,4.8015122,1.7581186
vincristine,1,BT-474,5.3678513,1.8512621
4EGI-1,1,C-33 A,3.5437582,1.5137545
9-ING-41,1,C-33 A,1.4351519,0.89000916
APTO-253,1,C-33 A,2.1008775,1.1316851
AT7519,1,C-33 A,2.0888143,1.1277874
AZD-7648,1,C-33 A,1.5892534,0.9513696
AZD-8055,1,C-33 A,3.4357686,1.4897009
AZD1390,1,C-33 A,1.6723664,0.9829644
AZD2858,1,C-33 A,4.6714764,1.7354494
Adagrasib,1,C-33 A,0.40922576,0.34304044
Afatinib,1,C-33 A,7.6868176,2.1618066
Alpelisib,1,C-33 A,0.97720474,0.6816841
Anastrozole,1,C-33 A,0.8464001,0.61323786
BAY1125976,1,C-33 A,3.014451,1.3899006
BI-3406,1,C-33 A,3.4377763,1.4901534
BI-78D3,1,C-33 A,3.242085,1.4450549
Belumosudil (mesylate),1,C-33 A,1.6546342,0.9763069
Belzutifan,1,C-33 A,1.8830298,1.0588417
Bentamapimod,1,C-33 A,2.1981273,1.1625655
Bimiralisib,1,C-33 A,3.3742287,1.4757302
Binimetinib,1,C-33 A,6.3058825,1.9886799
Bortezomib,1,C-33 A,10.766294,2.465239
Brivudine,1,C-33 A,1.3762126,0.86550784
CP21R7,1,C-33 A,2.6057448,1.2825284
Capivasertib,1,C-33 A,1.916623,1.0704265
Capmatinib,1,C-33 A,4.1668563,1.6422644
Celecoxib,1,C-33 A,1.0982786,0.7411173
DT-061,1,C-33 A,1.9880326,1.0946152
Dabrafenib,1,C-33 A,0.9429679,0.66421664
ERK5-IN-2,1,C-33 A,2.2728379,1.1856575
ETC-206,1,C-33 A,1.5196403,0.92411613
EX229,1,C-33 A,1.2891363,0.8281746
Elimusertib hydrochloride,1,C-33 A,4.39768,1.6859692
Encorafenib,1,C-33 A,2.6140127,1.2848186
Erdafitinib,1,C-33 A,4.678725,1.7367268
Everolimus,1,C-33 A,6.588731,2.0266643
Futibatinib,1,C-33 A,1.4134811,0.88107014
GSK1059615,1,C-33 A,4.2650843,1.6610972
Gemcitabine,1,C-33 A,2.4375522,1.2347597
HI-TOPK-032,1,C-33 A,7.3054724,2.1169145
IQ 1,1,C-33 A,1.130505,0.75635904
Infigratinib,1,C-33 A,8.143894,2.2130864
Ipatasertib,1,C-33 A,3.21437,1.4385002
Irinotecan,1,C-33 A,6.7709684,2.0503948
Ixazomib,1,C-33 A,5.866301,1.9266255
LB-100,1,C-33 A,3.6148436,1.529278
LJI308,1,C-33 A,5.0250235,1.7959213
LY-2584702 (tosylate salt),1,C-33 A,0.8981418,0.6408754
LY2090314,1,C-33 A,1.5968989,0.95431805
Lapatinib ditosylate,1,C-33 A,3.6038375,1.5268902
Lonafarnib,1,C-33 A,4.29432,1.6666346
MK-3903,1,C-33 A,2.5696647,1.2724717
MK-8353,1,C-33 A,0.9414386,0.66342926
ML264,1,C-33 A,3.2867572,1.4555305
Minodronic acid,1,C-33 A,1.1291747,0.75573444
NG25,1,C-33 A,4.615286,1.7254925
NVP-BHG712,1,C-33 A,0.91912955,0.65187174
OTS514,1,C-33 A,0.72115874,0.5429977
Oleic acid,1,C-33 A,4.3779116,1.6823001
Oxaliplatin,1,C-33 A,2.5885663,1.2777528
PH-797804,1,C-33 A,2.83514,1.344206
Paclitaxel,1,C-33 A,3.0622406,1.4017347
Pemigatinib,1,C-33 A,3.6804426,1.5433927
Pimitespib,1,C-33 A,2.217771,1.1686889
Pralsetinib,1,C-33 A,10.471983,2.4399078
RMC-6236,1,C-33 A,1.3559427,0.856941
Regorafenib,1,C-33 A,6.643376,2.0338395
SBI-0640756,1,C-33 A,7.4641147,2.1358354
Sapanisertib,1,C-33 A,1.3586373,0.8580841
TAK-733,1,C-33 A,1.5697396,0.94380456
TAK-901,1,C-33 A,1.6681281,0.9813771
Temuterkib,1,C-33 A,4.5233617,1.7089866
Tomivosertib,1,C-33 A,2.6384833,1.291567
Torkinib,1,C-33 A,0.9954277,0.6908584
Trametinib,1,C-33 A,2.0191135,1.1049633
Tubulin inhibitor 6,1,C-33 A,1.10496,0.74429643
Tucatinib,1,C-33 A,2.3145893,1.1983337
ULK-101,1,C-33 A,1.4065663,0.87820095
Vemurafenib,1,C-33 A,6.983057,2.0773215
Volasertib,1,C-33 A,4.927058,1.779528
XRK3F2,1,C-33 A,1.2743706,0.8217033
palbociclib,1,C-33 A,5.963916,1.9407419
venetoclax,1,C-33 A,5.7202797,1.9051298
vincristine,1,C-33 A,1.9758949,1.0905448
4EGI-1,1,C32,3.8448386,1.577914
9-ING-41,1,C32,0.96339184,0.6746735
APTO-253,1,C32,2.986469,1.3829058
AT7519,1,C32,3.1160548,1.4148952
AZD-7648,1,C32,1.3398851,0.8501018
AZD-8055,1,C32,5.037384,1.7979708
AZD1390,1,C32,1.8150519,1.0349808
AZD2858,1,C32,5.860507,1.9257814
Adagrasib,1,C32,0.5121955,0.4135626
Afatinib,1,C32,9.04143,2.3067195
Alpelisib,1,C32,2.4547987,1.2397642
Anastrozole,1,C32,0.8939892,0.6386853
BAY1125976,1,C32,3.2967236,1.4578528
BI-3406,1,C32,4.6683273,1.734894
BI-78D3,1,C32,3.89053,1.5873007
Belumosudil (mesylate),1,C32,3.1561303,1.4245844
Bentamapimod,1,C32,1.8397954,1.0437319
Bimiralisib,1,C32,4.26583,1.6612388
Binimetinib,1,C32,8.991203,2.3017051
Bortezomib,1,C32,21.971033,3.134234
Brivudine,1,C32,1.7798773,1.0224068
CP21R7,1,C32,3.6369374,1.534054
Capivasertib,1,C32,2.952048,1.374234
Capmatinib,1,C32,5.412527,1.8582535
Celecoxib,1,C32,1.502791,0.91740656
DT-061,1,C32,2.856313,1.3497115
Dabrafenib,1,C32,2.8581219,1.3501805
ERK5-IN-2,1,C32,1.641834,0.97147334
ETC-206,1,C32,2.8335752,1.3437978
EX229,1,C32,1.4515066,0.89670277
Elimusertib hydrochloride,1,C32,7.342129,2.1213186
Encorafenib,1,C32,3.3536613,1.4710171
Erdafitinib,1,C32,5.655467,1.8954387
Everolimus,1,C32,5.943826,1.937853
Futibatinib,1,C32,0.5479914,0.43695822
GSK1059615,1,C32,6.6237082,2.0312629
Gemcitabine,1,C32,4.1417556,1.6373945
HI-TOPK-032,1,C32,6.8118854,2.0556464
IQ 1,1,C32,0.9754537,0.68079805
Infigratinib,1,C32,10.080348,2.405173
Ipatasertib,1,C32,3.457803,1.4946561
Irinotecan,1,C32,7.935934,2.1900806
Ixazomib,1,C32,6.155553,1.9678887
LB-100,1,C32,4.1350727,1.636094
LJI308,1,C32,5.2033215,1.8250849
LY-2584702 (tosylate salt),1,C32,0.96243685,0.674187
LY2090314,1,C32,1.6405698,0.9709947
Lapatinib ditosylate,1,C32,4.4321704,1.6923387
Lonafarnib,1,C32,5.9638596,1.9407339
MK-3903,1,C32,1.3109276,0.837649
MK-8353,1,C32,1.9518425,1.0824295
ML264,1,C32,1.6072332,0.95828956
Minodronic acid,1,C32,1.463659,0.9016477
NG25,1,C32,5.1249127,1.8123646
NVP-BHG712,1,C32,0.8284555,0.60347164
OTS514,1,C32,2.2730837,1.1857326
Oleic acid,1,C32,4.1705413,1.6429774
Oxaliplatin,1,C32,3.110948,1.4136537
PH-797804,1,C32,1.6794459,0.98561
Paclitaxel,1,C32,4.0223465,1.6138972
Pemigatinib,1,C32,4.343419,1.6758657
Pimitespib,1,C32,3.582749,1.522299
Pralsetinib,1,C32,10.889422,2.475649
RMC-6236,1,C32,0.9971764,0.6917344
Regorafenib,1,C32,5.4693074,1.867069
SBI-0640756,1,C32,7.9580045,2.1925476
Sapanisertib,1,C32,1.8521528,1.0480741
TAK-733,1,C32,0.93542194,0.66032535
TAK-901,1,C32,2.321917,1.2005421
Temuterkib,1,C32,5.2437825,1.8315861
Tomivosertib,1,C32,3.1193814,1.415703
Torkinib,1,C32,0.98355454,0.68489045
Trametinib,1,C32,0.67576784,0.5162715
Tubulin inhibitor 6,1,C32,0.72497416,0.54521203
Tucatinib,1,C32,3.1440825,1.4216814
ULK-101,1,C32,1.9966973,1.0975108
Vemurafenib,1,C32,6.665587,2.036741
Volasertib,1,C32,5.2323523,1.8297539
XRK3F2,1,C32,1.2487315,0.8103663
palbociclib,1,C32,7.470143,2.1365473
venetoclax,1,C32,6.3259945,1.9914289
vincristine,1,C32,2.257182,1.1808624
4EGI-1,1,CFPAC-1,2.5975413,1.2802507
9-ING-41,1,CFPAC-1,3.760489,1.5603504
APTO-253,1,CFPAC-1,3.8016205,1.5689535
AT7519,1,CFPAC-1,4.394973,1.6854676
AZD-7648,1,CFPAC-1,3.187022,1.4319898
AZD-8055,1,CFPAC-1,6.135628,1.9651003
AZD1390,1,CFPAC-1,1.0820912,0.7333728
AZD2858,1,CFPAC-1,5.2051854,1.8253853
Adagrasib,1,CFPAC-1,1.2421943,0.807455
Afatinib,1,CFPAC-1,7.914432,2.1876717
Alpelisib,1,CFPAC-1,4.5214677,1.7086437
Anastrozole,1,CFPAC-1,1.3157997,0.83975506
BAY1125976,1,CFPAC-1,3.4099057,1.4838533
BI-3406,1,CFPAC-1,7.204113,2.1046357
BI-78D3,1,CFPAC-1,3.2477767,1.4463958
Belumosudil (mesylate),1,CFPAC-1,2.0990963,1.1311105
Bentamapimod,1,CFPAC-1,7.615975,2.153618
Bimiralisib,1,CFPAC-1,6.338035,1.9930711
Binimetinib,1,CFPAC-1,11.040931,2.4883118
Bortezomib,1,CFPAC-1,15.516763,2.804376
Brivudine,1,CFPAC-1,3.2150726,1.4386668
CP21R7,1,CFPAC-1,3.802482,1.5691328
Capivasertib,1,CFPAC-1,2.387951,1.2202253
Capmatinib,1,CFPAC-1,6.2411914,1.9797858
Celecoxib,1,CFPAC-1,1.2292007,0.80164313
DT-061,1,CFPAC-1,4.1359115,1.6362573
Dabrafenib,1,CFPAC-1,2.2153423,1.1679338
ERK5-IN-2,1,CFPAC-1,0.7900013,0.5822163
ETC-206,1,CFPAC-1,2.7062023,1.3100077
EX229,1,CFPAC-1,1.5548222,0.9379826
Elimusertib hydrochloride,1,CFPAC-1,7.4493804,2.134093
Encorafenib,1,CFPAC-1,1.1253092,0.75391734
Erdafitinib,1,CFPAC-1,4.330112,1.6733723
Everolimus,1,CFPAC-1,6.321423,1.9908047
Futibatinib,1,CFPAC-1,1.5074646,0.9192721
GSK1059615,1,CFPAC-1,5.6356483,1.8924564
Gemcitabine,1,CFPAC-1,5.7941327,1.9160594
HI-TOPK-032,1,CFPAC-1,8.391061,2.2397583
IQ 1,1,CFPAC-1,1.7507695,1.0118806
Infigratinib,1,CFPAC-1,10.291513,2.4240513
Ipatasertib,1,CFPAC-1,6.7929983,2.0532258
Irinotecan,1,CFPAC-1,6.787351,2.0525007
Ixazomib,1,CFPAC-1,4.930736,1.7801483
LB-100,1,CFPAC-1,3.1875515,1.4321162
LJI308,1,CFPAC-1,5.861718,1.9259579
LY-2584702 (tosylate salt),1,CFPAC-1,0.5860573,0.46125126
LY2090314,1,CFPAC-1,3.153035,1.4238393
Lapatinib ditosylate,1,CFPAC-1,4.953136,1.7839181
Lonafarnib,1,CFPAC-1,5.111218,1.8101261
MK-3903,1,CFPAC-1,3.5556314,1.5163641
MK-8353,1,CFPAC-1,3.091429,1.4088943
ML264,1,CFPAC-1,2.1577919,1.149873
Minodronic acid,1,CFPAC-1,1.3533041,0.85582036
NG25,1,CFPAC-1,4.404345,1.6872033
NVP-BHG712,1,CFPAC-1,0.870337,0.62611866
OTS514,1,CFPAC-1,2.4452493,1.2369963
Oleic acid,1,CFPAC-1,2.8055418,1.3364583
Oxaliplatin,1,CFPAC-1,2.3306296,1.2031614
PH-797804,1,CFPAC-1,0.7097574,0.5363515
Paclitaxel,1,CFPAC-1,3.9611053,1.6016285
Pemigatinib,1,CFPAC-1,4.4577265,1.6970323
Pimitespib,1,CFPAC-1,4.4235773,1.6907556
Pralsetinib,1,CFPAC-1,9.2357855,2.32589
RMC-6236,1,CFPAC-1,2.77004,1.3270856
Regorafenib,1,CFPAC-1,2.2586825,1.1813229
SBI-0640756,1,CFPAC-1,6.2191505,1.9767373
Sapanisertib,1,CFPAC-1,3.7492406,1.5579847
TAK-733,1,CFPAC-1,0.9550256,0.6704033
TAK-901,1,CFPAC-1,8.528115,2.254247
Temuterkib,1,CFPAC-1,5.560654,1.8810903
Tomivosertib,1,CFPAC-1,3.8590217,1.5808371
Torkinib,1,CFPAC-1,1.355186,0.8566197
Trametinib,1,CFPAC-1,2.9473386,1.3730416
Tubulin inhibitor 6,1,CFPAC-1,1.662053,0.9790976
Tucatinib,1,CFPAC-1,2.2985575,1.1934853
ULK-101,1,CFPAC-1,3.953607,1.600116
Vemurafenib,1,CFPAC-1,5.9717445,1.9418654
Volasertib,1,CFPAC-1,4.93419,1.7807305
XRK3F2,1,CFPAC-1,3.6073792,1.5276592
palbociclib,1,CFPAC-1,6.6908984,2.0400376
venetoclax,1,CFPAC-1,9.346147,2.3366141
vincristine,1,CFPAC-1,1.962181,1.0859258
4EGI-1,1,CHP-212,1.5827587,0.9488581
9-ING-41,1,CHP-212,0.897252,0.64040655
APTO-253,1,CHP-212,0.84496295,0.6124592
AT7519,1,CHP-212,3.3722067,1.4752679
AZD-7648,1,CHP-212,0.80787635,0.5921529
AZD-8055,1,CHP-212,2.342354,1.2066754
AZD1390,1,CHP-212,2.272918,1.1856819
AZD2858,1,CHP-212,3.7437415,1.5568261
Adagrasib,1,CHP-212,0.71207255,0.53770465
Afatinib,1,CHP-212,3.4459155,1.4919858
Alpelisib,1,CHP-212,0.66953874,0.5125474
Anastrozole,1,CHP-212,1.9015614,1.065249
BAY1125976,1,CHP-212,1.9369088,1.0773576
BI-3406,1,CHP-212,2.54534,1.2656341
BI-78D3,1,CHP-212,1.87753,1.0569322
Belumosudil (mesylate),1,CHP-212,0.7409499,0.5544309
Bentamapimod,1,CHP-212,1.6814722,0.986366
Bimiralisib,1,CHP-212,1.451921,0.8968718
Binimetinib,1,CHP-212,5.2849965,1.8381653
Bortezomib,1,CHP-212,9.337336,2.335762
Brivudine,1,CHP-212,1.6441543,0.9723513
CP21R7,1,CHP-212,1.5693866,0.9436672
Capivasertib,1,CHP-212,0.4789607,0.3913396
Capmatinib,1,CHP-212,3.583625,1.5224901
Celecoxib,1,CHP-212,4.142546,1.6375483
DT-061,1,CHP-212,1.4598845,0.9001144
Dabrafenib,1,CHP-212,0.9844647,0.6853492
ERK5-IN-2,1,CHP-212,0.74737746,0.5581161
ETC-206,1,CHP-212,0.9036355,0.64376545
EX229,1,CHP-212,1.4272099,0.88674235
Elimusertib hydrochloride,1,CHP-212,2.4238467,1.2307646
Encorafenib,1,CHP-212,1.1514277,0.7661317
Erdafitinib,1,CHP-212,3.595854,1.5251546
Everolimus,1,CHP-212,3.390599,1.4794657
Futibatinib,1,CHP-212,0.4124689,0.34533918
GSK1059615,1,CHP-212,3.209724,1.4373971
Gemcitabine,1,CHP-212,2.8104177,1.3377388
HI-TOPK-032,1,CHP-212,1.6491008,0.9742203
IQ 1,1,CHP-212,0.8484613,0.61435354
Infigratinib,1,CHP-212,6.9202986,2.069429
Ipatasertib,1,CHP-212,1.6189884,0.9627881
Irinotecan,1,CHP-212,2.947178,1.3730009
Ixazomib,1,CHP-212,4.7904944,1.7562177
LB-100,1,CHP-212,0.55629146,0.4423057
LJI308,1,CHP-212,3.4357266,1.4896915
LY-2584702 (tosylate salt),1,CHP-212,0.80977064,0.5932001
LY2090314,1,CHP-212,0.68870646,0.52396286
Lapatinib ditosylate,1,CHP-212,2.4140964,1.2279129
Lonafarnib,1,CHP-212,2.0016286,1.099155
MK-3903,1,CHP-212,1.1212384,0.75200003
MK-8353,1,CHP-212,1.2841673,0.8260015
ML264,1,CHP-212,2.8972015,1.3602587
Minodronic acid,1,CHP-212,2.5535855,1.2679571
NG25,1,CHP-212,4.2495093,1.6581346
NVP-BHG712,1,CHP-212,2.302515,1.1946843
OTS514,1,CHP-212,1.4192992,0.8834779
Oleic acid,1,CHP-212,2.4281769,1.2320286
Oxaliplatin,1,CHP-212,3.0204458,1.3913928
PH-797804,1,CHP-212,2.1450226,1.1458211
Paclitaxel,1,CHP-212,0.9563981,0.6711051
Pemigatinib,1,CHP-212,2.0169456,1.104245
Pimitespib,1,CHP-212,1.6646411,0.9800694
Pralsetinib,1,CHP-212,7.9492044,2.1915646
RMC-6236,1,CHP-212,2.178912,1.156539
Regorafenib,1,CHP-212,2.839309,1.3452924
SBI-0640756,1,CHP-212,3.7449555,1.557082
Sapanisertib,1,CHP-212,1.1406379,0.76110387
TAK-733,1,CHP-212,2.276741,1.1868494
TAK-901,1,CHP-212,1.1880201,0.7829971
Temuterkib,1,CHP-212,1.4052562,0.8776564
Tomivosertib,1,CHP-212,1.599458,0.95530295
Torkinib,1,CHP-212,1.1985232,0.7877858
Trametinib,1,CHP-212,1.5540664,0.93768674
Tubulin inhibitor 6,1,CHP-212,0.94605255,0.665803
Tucatinib,1,CHP-212,2.198632,1.1627232
ULK-101,1,CHP-212,2.4152524,1.2282515
Vemurafenib,1,CHP-212,2.3342214,1.2042391
Volasertib,1,CHP-212,2.1839743,1.1581302
XRK3F2,1,CHP-212,0.6158812,0.47988045
palbociclib,1,CHP-212,5.1065617,1.8093638
venetoclax,1,CHP-212,4.773631,1.7533011
vincristine,1,CHP-212,1.8172894,1.0357752
4EGI-1,1,COLO 205,2.5570378,1.2689282
9-ING-41,1,COLO 205,1.4403539,0.8921431
APTO-253,1,COLO 205,2.790783,1.3325726
AT7519,1,COLO 205,1.6931207,0.9907006
AZD-7648,1,COLO 205,3.633374,1.5332854
AZD-8055,1,COLO 205,2.3742163,1.2161632
AZD1390,1,COLO 205,3.9926817,1.6079732
AZD2858,1,COLO 205,4.3453474,1.6762265
Adagrasib,1,COLO 205,1.8588595,1.0504228
Afatinib,1,COLO 205,6.395608,2.0008862
Alpelisib,1,COLO 205,1.4394445,0.89177036
Anastrozole,1,COLO 205,3.9046419,1.5901821
BAY1125976,1,COLO 205,1.7755344,1.0208433
BI-3406,1,COLO 205,3.5262005,1.5098828
BI-78D3,1,COLO 205,2.3957283,1.2225183
Belumosudil (mesylate),1,COLO 205,0.46422726,0.38132763
Belzutifan,1,COLO 205,6.4158754,2.003623
Bentamapimod,1,COLO 205,2.8584132,1.350256
Bimiralisib,1,COLO 205,1.509833,0.9202162
Binimetinib,1,COLO 205,5.5490384,1.8793182
Bortezomib,1,COLO 205,20.175777,3.0528579
Brivudine,1,COLO 205,2.176481,1.155774
CP21R7,1,COLO 205,2.5776327,1.2747014
Capivasertib,1,COLO 205,2.3168275,1.1990087
Capmatinib,1,COLO 205,3.3777783,1.4765414
Celecoxib,1,COLO 205,2.5000348,1.2527729
DT-061,1,COLO 205,0.6655572,0.51015973
Dabrafenib,1,COLO 205,0.91262025,0.64847416
ERK5-IN-2,1,COLO 205,1.1094995,0.74645066
ETC-206,1,COLO 205,0.5661157,0.44859844
EX229,1,COLO 205,1.6388838,0.97035605
Elimusertib hydrochloride,1,COLO 205,1.4907693,0.9125916
Encorafenib,1,COLO 205,2.4851139,1.2485007
Erdafitinib,1,COLO 205,4.5081806,1.7062343
Everolimus,1,COLO 205,6.570703,2.024286
Futibatinib,1,COLO 205,1.6509897,0.974933
GSK1059615,1,COLO 205,4.090183,1.6273137
Gemcitabine,1,COLO 205,1.5300261,0.92822963
HI-TOPK-032,1,COLO 205,2.0700252,1.1216857
IQ 1,1,COLO 205,0.7658052,0.5686068
Infigratinib,1,COLO 205,8.355345,2.2359478
Ipatasertib,1,COLO 205,4.531329,1.7104281
Irinotecan,1,COLO 205,5.2352695,1.8302218
Ixazomib,1,COLO 205,6.8946633,2.066187
LB-100,1,COLO 205,0.48499352,0.39541042
LJI308,1,COLO 205,6.384314,1.999358
LY-2584702 (tosylate salt),1,COLO 205,1.091213,0.7377443
LY2090314,1,COLO 205,1.6690167,0.98171014
Lapatinib ditosylate,1,COLO 205,3.1572235,1.4248474
Lonafarnib,1,COLO 205,2.8663213,1.3523035
MK-3903,1,COLO 205,1.7400491,1.0079758
MK-8353,1,COLO 205,1.6038438,0.95698875
ML264,1,COLO 205,3.0859206,1.407547
Minodronic acid,1,COLO 205,5.7833643,1.9144732
NG25,1,COLO 205,4.157075,1.6403695
NVP-BHG712,1,COLO 205,3.4464598,1.4921082
OTS514,1,COLO 205,0.98494697,0.6855922
Oleic acid,1,COLO 205,0.4558314,0.37557715
Oxaliplatin,1,COLO 205,0.8529268,0.61676645
PH-797804,1,COLO 205,5.544073,1.8785598
Paclitaxel,1,COLO 205,1.1058817,0.7447342
Pemigatinib,1,COLO 205,4.7379684,1.7471052
Pimitespib,1,COLO 205,2.4193525,1.2294512
Pralsetinib,1,COLO 205,8.530185,2.2544641
RMC-6236,1,COLO 205,3.8033366,1.5693108
Regorafenib,1,COLO 205,4.4513273,1.6958592
SBI-0640756,1,COLO 205,5.581518,1.8842654
Sapanisertib,1,COLO 205,1.4105126,0.8798394
TAK-733,1,COLO 205,3.799573,1.568527
TAK-901,1,COLO 205,1.3025293,0.8340082
Temuterkib,1,COLO 205,2.0180988,1.1046271
Tomivosertib,1,COLO 205,2.078209,1.1243479
Torkinib,1,COLO 205,2.4665227,1.243152
Trametinib,1,COLO 205,4.3434186,1.6758657
Tubulin inhibitor 6,1,COLO 205,1.5514027,0.9366433
Tucatinib,1,COLO 205,1.7964463,1.0283494
ULK-101,1,COLO 205,3.8402574,1.576968
Vemurafenib,1,COLO 205,4.239101,1.6561499
Volasertib,1,COLO 205,2.3301682,1.2030228
XRK3F2,1,COLO 205,1.6403116,0.97089696
palbociclib,1,COLO 205,5.2459745,1.8319372
venetoclax,1,COLO 205,3.292866,1.4569546
vincristine,1,COLO 205,3.9824126,1.6059142
4EGI-1,1,H4,2.2003572,1.1632624
9-ING-41,1,H4,0.78054005,0.5769167
APTO-253,1,H4,1.112319,0.7477864
AT7519,1,H4,1.9673848,1.087681
AZD-7648,1,H4,0.706937,0.5347005
AZD-8055,1,H4,3.2883668,1.4559059
AZD1390,1,H4,2.8170881,1.3394879
AZD2858,1,H4,5.1268444,1.8126798
Adagrasib,1,H4,1.2367985,0.8050456
Afatinib,1,H4,5.4568872,1.8651474
Alpelisib,1,H4,2.2156765,1.1680378
Anastrozole,1,H4,0.7548141,0.5623629
BAY1125976,1,H4,2.4576654,1.2405937
BI-3406,1,H4,3.3390667,1.4676592
BI-78D3,1,H4,2.667172,1.2994208
Belumosudil (mesylate),1,H4,3.5750272,1.5206127
Bentamapimod,1,H4,2.3039958,1.1951326
Bimiralisib,1,H4,2.3291583,1.2027194
Binimetinib,1,H4,7.4665866,2.1361275
Bortezomib,1,H4,12.415463,2.5964081
Brivudine,1,H4,2.3179507,1.1993474
CP21R7,1,H4,3.284512,1.4550067
Capivasertib,1,H4,1.4612393,0.90066504
Capmatinib,1,H4,4.757968,1.7505846
Celecoxib,1,H4,2.2067835,1.1652684
DT-061,1,H4,1.4261105,0.88628936
Dabrafenib,1,H4,0.80162036,0.58868647
ERK5-IN-2,1,H4,1.0535971,0.7195929
ETC-206,1,H4,1.4498471,0.8960256
EX229,1,H4,1.7431797,1.0091177
Elimusertib hydrochloride,1,H4,2.78993,1.3323476
Encorafenib,1,H4,1.0773128,0.73107517
Erdafitinib,1,H4,2.799732,1.3349305
Everolimus,1,H4,4.7566614,1.7503576
Futibatinib,1,H4,0.7110054,0.5370811
GSK1059615,1,H4,4.9981246,1.7914469
Gemcitabine,1,H4,4.4128447,1.6887748
HI-TOPK-032,1,H4,4.3470016,1.676536
IQ 1,1,H4,1.547407,0.935076
Infigratinib,1,H4,8.643555,2.2662897
Ipatasertib,1,H4,3.5463564,1.5143261
Irinotecan,1,H4,4.596228,1.7220929
Ixazomib,1,H4,4.787079,1.7556276
LB-100,1,H4,2.8350837,1.3441913
LJI308,1,H4,7.349805,2.1222382
LY-2584702 (tosylate salt),1,H4,0.5969814,0.4681152
LY2090314,1,H4,0.67151064,0.5137278
Lapatinib ditosylate,1,H4,3.053281,1.3995267
Lonafarnib,1,H4,3.8456147,1.5780741
MK-3903,1,H4,1.2970787,0.8316382
MK-8353,1,H4,1.094863,0.7394882
ML264,1,H4,2.2676494,1.1840708
Minodronic acid,1,H4,1.3136142,0.8388109
NG25,1,H4,3.6341662,1.5334563
NVP-BHG712,1,H4,1.2386467,0.80587155
OTS514,1,H4,1.7602799,1.0153321
Oleic acid,1,H4,2.5769527,1.2745112
Oxaliplatin,1,H4,2.174371,1.1551095
PH-797804,1,H4,0.5772452,0.45567977
Paclitaxel,1,H4,1.4235848,0.88524777
Pemigatinib,1,H4,3.3837738,1.4779099
Pimitespib,1,H4,2.9810658,1.3815496
Pralsetinib,1,H4,7.4376707,2.1327064
RMC-6236,1,H4,1.2912155,0.8290825
Regorafenib,1,H4,3.6722016,1.5416304
SBI-0640756,1,H4,4.6179156,1.7259607
Sapanisertib,1,H4,1.3753655,0.8651513
TAK-733,1,H4,2.5121374,1.2562248
TAK-901,1,H4,2.1034303,1.132508
Temuterkib,1,H4,3.1239629,1.4168146
Tomivosertib,1,H4,1.8998506,1.0646592
Torkinib,1,H4,1.880693,1.0580308
Trametinib,1,H4,1.3483973,0.85373306
Tubulin inhibitor 6,1,H4,1.0908014,0.7375474
Tucatinib,1,H4,1.2935011,0.83007956
ULK-101,1,H4,2.7014487,1.3087243
Vemurafenib,1,H4,3.9445484,1.5982857
Volasertib,1,H4,3.1134548,1.4142632
XRK3F2,1,H4,0.5229786,0.42066804
palbociclib,1,H4,5.441471,1.862757
venetoclax,1,H4,6.6436877,2.0338802
vincristine,1,H4,1.2120088,0.7939011
4EGI-1,1,HCT15,4.5302796,1.7102383
9-ING-41,1,HCT15,3.0934536,1.409389
APTO-253,1,HCT15,3.9821596,1.6058635
AT7519,1,HCT15,4.1086626,1.6309377
AZD-7648,1,HCT15,3.7420793,1.5564756
