drug,plate,cell_line,magnitude,log1p_magnitude
CP21R7,1,AN3 CA,2.3682294,1.2143872
Capivasertib,1,AN3 CA,3.0831304,1.4068639
Capmatinib,1,AN3 CA,5.2457843,1.8319067
Celecoxib,1,AN3 CA,1.307462,0.8361482
DT-061,1,AN3 CA,0.9696287,0.67784506
Dabrafenib,1,AN3 CA,1.0509535,0.7183048
ERK5-IN-2,1,AN3 CA,1.1896417,0.7837379
ETC-206,1,AN3 CA,1.6630579,0.979475
EX229,1,AN3 CA,0.7527832,0.5612049
Elimusertib hydrochloride,1,AN3 CA,2.247473,1.1778772
Encorafenib,1,AN3 CA,3.8626814,1.58159
Erdafitinib,1,AN3 CA,5.044136,1.7990885
Everolimus,1,AN3 CA,7.432459,2.1320884
Futibatinib,1,AN3 CA,1.3179952,0.84070265
GSK1059615,1,AN3 CA,5.6903443,1.9006653
Gemcitabine,1,AN3 CA,4.060833,1.6215311
HI-TOPK-032,1,AN3 CA,3.5007966,1.5042543
IQ 1,1,AN3 CA,2.7708292,1.327295
Infigratinib,1,AN3 CA,8.010273,2.1983654
Ipatasertib,1,AN3 CA,5.6856055,1.8999568
Irinotecan,1,AN3 CA,5.328778,1.8451071
Ixazomib,1,AN3 CA,5.7182846,1.9048328
LB-100,1,AN3 CA,0.8598876,0.62051606
LJI308,1,AN3 CA,9.52355,2.3536155
LY-2584702 (tosylate salt),1,AN3 CA,0.6988962,0.52997875
LY2090314,1,AN3 CA,0.9319356,0.6585224
Lapatinib ditosylate,1,AN3 CA,3.5745134,1.5205003
Lonafarnib,1,AN3 CA,3.7259939,1.5530779
MK-3903,1,AN3 CA,4.0086474,1.6111659
MK-8353,1,AN3 CA,2.7715902,1.3274968
ML264,1,AN3 CA,2.295517,1.192563
Minodronic acid,1,AN3 CA,4.498045,1.7043926
NG25,1,AN3 CA,4.5094132,1.7064581
NVP-BHG712,1,AN3 CA,0.5352509,0.42869383
OTS514,1,AN3 CA,2.380833,1.2181221
Oleic acid,1,AN3 CA,2.1360538,1.1429653
