drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist,median_log1p_mag,moa
Meloxicam,1.6335939809330875,1.4817804990776717,144,1.1663625,Cyclooxygenase inhibitor
Menadione,1.8559166763878567,1.957502451747955,141,1.1558754,unclear
Methotrexate,1.569891106670082,1.5516098254678359,143,1.0819311,DNA synthesis/repair inhibitor
Methyl aminolevulinate (hydrochloride),2.183249711279661,2.2428537620817077,144,1.2877969,unclear
Methylprednisolone succinate,2.6487183999507673,2.906446230883869,144,1.8769411,Glucocorticoid receptor agonist
Methylthiouracil,1.4412103277342196,1.4258056260170517,144,0.78096724,unclear
Mifepristone,2.0012242582951316,1.9468668859812097,142,1.355571,unclear
Minodronic acid,2.2048109267595373,2.040976978152786,143,0.9916228,unclear
Mitoxantrone (dihydrochloride),2.9148253953788874,3.098914664395203,190,1.6889737,DNA synthesis/repair inhibitor
Monocrotaline,2.3186846878660603,2.3095289604884166,141,1.1823647,unclear
Mozavaptan,1.931091405202388,1.8656066647557945,141,1.4080057,unclear
NG25,2.3816830172340886,2.5046208389388087,142,1.4838846,Other MAPK inhibitor
NVP-BHG712,2.944678593685709,3.1173454044265694,142,1.1156472,unclear
Nafamostat (mesylate),1.932889766833351,1.9988489091328934,143,1.4763503,unclear
Naproxen,1.5501635912076486,1.36649630005503,189,0.82451147,Cyclooxygenase inhibitor
Neratinib,2.0933563417350607,2.002476192319515,142,1.4814663,EGFR/ERBB inhibitor
Neratinib (maleate),2.6189720632899762,2.5648914154930473,192,1.4951546,EGFR/ERBB inhibitor
Nevirapine,2.007688301994188,2.115263088710606,142,1.1962291,unclear
Niclosamide (olamine),2.802675163785689,3.0370295440396538,142,1.1494278,unclear
Nimesulide,1.217714777196507,1.2678763602936083,48,0.64663935,Cyclooxygenase inhibitor
Norepinephrine (hydrochloride),2.1756722601998297,2.0614300042866485,192,1.2572865,Adrenoceptor agonist
OTS514,2.6957906179785107,2.702893063432352,140,1.0701208,Other MAPK inhibitor
Olanzapine,1.6227359791913187,1.5866295730200957,192,1.1464074,unclear
Oleic acid,2.2281656287161913,2.1298546277269326,144,1.6644326,unclear
Omeprazole,1.534048853285938,1.4567597064541864,143,1.3740693,unclear
Omeprazole (sodium),1.896466294008549,1.8765299695593467,143,1.0581243,unclear
Orlistat,2.3463869941128177,2.3402570854264417,142,1.4219768,unclear
Ornidazole,1.5667613626937622,1.5223298827019665,48,0.96911603,unclear
Osimertinib (mesylate),2.226174656693173,1.9312225194455686,142,0.99458116,EGFR/ERBB inhibitor
Ouabain (Octahydrate),4.528768670085856,4.377167517666962,143,1.6782014,unclear
Oxaliplatin,1.9595207276474995,1.842185586587107,144,0.9754447,DNA synthesis/repair inhibitor
Oxaprozin,2.6601794049673315,2.5422611079162842,143,1.6592796,Cyclooxygenase inhibitor
PF-06260933,3.0526771008064872,2.983114017249849,141,1.7243549,Other MAPK inhibitor
PH-797804,4.309502423695162,3.852441782868203,143,2.2008297,Other MAPK inhibitor
